Title,Directors,Writers,Actors,Genres,Release Date,Runtime,Rating Count,Summary
The Shawshank Redemption,Frank Drabonte,,"Tim Robbins, Morgan Friman, Bob Gangton, William Cedler, Cransei Brown, Gil Beros, Mark Roston, James Whitmus, Jeffer, JefferRi Deman, Larry Brandonberg, Neil Genentoli, Breane Libi, David Provel, Joseph Laugino, Zude Seklira, PaulMiklani, Reni Blaine, Afangso Friman, V 路 J. Foster, Frank Medranano, Mark Mels, Neil Summes, KenyaLami, Breane Darat, Tang McManas","Plot, crime",1994/9/10,142,3025779,"A murder caused the banker Andy (Tim Robbins, Tim Robbins) to be imprisoned, and murdered his wife and his lover's allegations to imprison him for life.For the first time in Shawshank Prison, the prison ""Big Brother"" Ryde (Morgan Freeman) looked at him with another look.Ryde helped him get a stone hammer and a female star poster, and the two became intertwined.Soon, Andy showed great talents in the prison, served as a prison book administrator, and used his own financial knowledge to help the prison officer avoid taxes, which attracted the attention of the chief of the prison, which caused the Majesty to help the prison chief black money.Occasionally, he learned that a newly prison thief could testify to help him elute the murder.Andy, who burned a hint of hope, found the chief of the prison, hoping that he could help him flip the case.The insidious and hypocritical prison chief pretended to promise Andy, but behind him sent someone to kill the thief, so that his only hope that he could be legally released from prison was annihilated.The frustrated Andy did not have despair. On a stormy night of lightning and thunderous nights, a decades of jailbreak plan for decades made him self -redeemed and regained freedom!With his encouragement and help, the old friend Ryde also bravely ran to freedom.

This film won the 1995 Olympics ..."
Farewell,Chen Kaige,,"Leslie Cheung, Zhang Fengyi, Gong Li, Ge You, Yingda, Jiang Wenli, Wu Dawei, Lu Qi, Lei Han, Yin Zhi, Ma Mingwei, Fei Zhenxiang, Zhi Yitong, Li Chun, Zhao Hailong, Li Dan, Tong Huifen, Huang Fei, Xu Fei, Xu Fei, Xu Fei, Xu Fei, Xu Fei, Xu Fei, Xu Fei, Xu Fei, Xu FeOutstanding","Plot, love, homosexuality",1993/7/26,171,2236768,"Duan Xiaolou (Zhang Fengyi) and Cheng Dieyi (Leslie Cheung) are a brother who grew up together. The two were born in one, one decorated, and they have always been seamlessly cooperated with Tianyi.It is well -known in Beijing. To this end, the two agreed to co -star ""Farewell My Concubine"".However, the two people have different understanding of the relationship between drama and life. Duan Xiaolou knows that the drama is not life, and Cheng Dieyi is indifferent.

Duan Xiaolou married the famous prostitute Juxian (Gong Li) when he thought that the family was established, causing Cheng Dieyi to determine that Juxian was a shameful third party.The love and hatred of love and hate, which is born of Farewell My Concubine, began to continue to upgrade with the changes of the times, and eventually caused a tragedy."
Forrest Gump,Robert Zemiris,,"Tom Hanks, Robin White, Gary Sini, McCarti William, Sally Philde, Haili John Osmont, Michael Conner Hamphoris, Harold路 G. Herham, Sam Anderson, Irine M. Trech, Peter Donbosen, Herfang Faron, Elizabeth Hanks, Hannah Horr, Christopher Jones, Robb 路Randry, Jason McQueir, Sony Schroe, Ed Davis, Daniel C. Sripkk, David Brinbin, Debola McGiri, ElHarxinton, Aframo Omila, John Warddad, Michael Bergis, Eric Andwood, Byron Mins, Stephen Brandgwater, John WilliamGolites, Hillary Shapland, Isabel Rose, Richard Darxandro, Dick Stidwell, Michael Jess, Jeffri Black, Vanessa Rose, Dick 路Kavit, Mara Sudhaletz, Joe Alasch, W. Bensen Terry","Plot, love",1994/6/23,142,2254510,"Agan (Tom Hanks) was born shortly after the end of World War II in an occlusal town in Alabama, southern, USA. He is inherently mentally retarded and IQ is only 75. However, his mother is a strong woman.Encourage A -Gump to ""stupid people with silly blessings"" and ask him to strengthen himself.

A -Gump went to school like an ordinary child, and met his life friends and Ai Zhenni (Robbine Late Pan). Under the love of Jenny and his mother, Agan started his life with the ""scalp leg"" given by God.Stop running.

A -Gump has become a rugby superstar, a hero of Vietnam, a messenger of table tennis, and a billionaire. However, he never forgets Jenny. Several rushes and farewells have deepened A -Gump's thoughts.

One day, A -Gump received a letter from Jenny, and they finally met again ..."
Titanic,James Cameron,,"Leonardo Dicaprio, Kate Winzlet, Billy Zann, Casey Bates, Francis Fisher, Grarui Steward, Bill Plathon,Bernard Hill, David Warner, Victor Gabber, Jonathan Hyde, Susie Emis, Lewis Aberry, Nicholas Caskhn, Anitelli SaGarovich, Danny Nurzi, Jason Berry, Ivan Stuart, Ian Grafad, Jonathan Philips, Mark Lindsay Chapman, Richard Graham,Paul Bravwell, Eric Britain, Charlotte Chadon, Bonad Fox, Michael Evernan, Farney Brett, Martin Jarvis, Rosalin AiErce, Roche Rose, Jonathan Ivans-Jones, Simon Cyan, Edward Fryche, Scott Anderson, Martin East, Craig Kelly, GreegoLi Cook, Liam Tuy, James Lancatst, Elsa Riwen, Lu Palt, Tyri Freda, Kevin De Ra Noy","Plot, love, disaster",1998/4/3,194,2293678,"On April 10, 1912, the luxury passenger ship Titanic, known as the ""Miracle in the History of the World Industry"", began to start its own virgin navigation and departed from Southampton, Britain to New York, USA.The rich girl Rose (Kate Winhlet) sat on the first class with her mother and fiance Carl; on the other hand, the unruly young painter Jack (Leonardo Dicaprio) also gambling in the pierWinned the lower -class ticket.

Rose was tired of the hypocritical life of the high society and was unwilling to marry Carl. He planned to invest in the sea and be rescued by Jack.Soon, the beautiful and lively Rose fell in love with the handsome and cheerful Jack. Jack took Rose to the lower -class ball and portrait her. The relationship between the two gradually heated up.

On April 14, 1912, Sunday night, a calm night.The Titanic hit the iceberg, and the ""never sinking"" Titanic faced the fate of the shipwreck. Rose and Jack's germination of love will also go through the test of life and death."
Spirited Away,Hayao Miyazaki,,"Sugawara Taka, Nakamura Hiroshi, Yujing Xihai, Kamiki Kosuke, Naito Gangzhi, Yoshikou Jingzi, Owa, Oki, Kobayashi, Kobayashi Hengyan, Ono Wuyan, Ono Aoyana, Ono Aoyan,","Plot, animation, fantasy",2019/6/21,125,2342602,"Chihiro drove to the new home with his parents, and accidentally entered the mysterious tunnel on the road of the suburbs -they went to another weird world -a medieval town.The fragrance of food floating in the distance, my parents are very happy, and they become pigs!At this time, there were many weird and translucent people in the town.

Chihiro escaped, a man named Xiaobai rescued him, fed her medicine to prevent her body from disappearing, and told her how to find grandpa and Mother -in -law of the boiler, and had to get a job to be magic to become anothers things.

With the help of Xiaobai, Chihiro was lucky enough to get a mixed job in the bath.Gradually, she was no longer scared by those strange people, and learned from Xiao Ling that Xiaobai was the disciple of the vicious Mother -in -law Tang.

Once, Chihiro found that Xiaobai was injured by a group of white flying papermen. In order to save the injured Xiaobai, she used the pills sent by the river god to the seal in Xiaobai and the seal seal.Bai still didn't wake up.

In order to save Xiaobai, Chihiro embarked on her adventure."
This killer is not too cold,Luc Beatson,,"Jean Renault, Natalie Portman, Gary Odman, Danny Elot, Peter Apel, Michael Badaruko, Allen Grini, Elizabeth Ren, Karl路 Matusovic, Frank Steg, Macin, George Martin, Robert Lhasado, Adam Besch, Mario Tadesco, Sami Nasseli","Plot, action, crime",2024,110,2381914,"Lyon (Jean Renault) is a lonely professional killer and hired.One day, the neighbor's little girl Matlida (Natali Potman) knocked on his door and asked to avoid killing his body temporarily.It turned out that the owner of the neighbor's house was the eyeliner of the police anti -drug team, and was punished by the police (Gary Odman) to kill the whole family because of corruption.Matlida was rescued by Lyon, was spared and left in Lyon.Lyon taught the little girl to make a gun. She taught Angfa in Lya. The relationship between the two became more intimate and got along well.

The girl was thinking to get revenge, but was arrested. Lyon arrived in time and rescued the girl.The battle of righteousness and evil with grievances has gradually upgraded, and greater conflicts are inevitable ..."
beautiful life,Roberto Benny,,"Roberto Benini, Nicole Lotata Braski, George Cantarini, Jostino Durano, Seljo BestrichPreders, Horster Bhhroholz, Lidia Afangsi, Juliana Lododiche, Aurigo Fantanic, Peter De Silva, FrancisGuzo, Lafayela Leibonini, Claudio Afangsi, Gil Balonini, Masimo Biachi, Eneo Congshalv, Ji'an Karllo KonTino, Allen Craig, Hennis Herman, Franco Meesklini, Antonio Prester, Gina Noviol, Richard Semel, An AnDereyda, Dirke Van Benberg, Omero Anton Nuteti","Plot, comedy, love, war",2020/1/3,116,1380028,"Jewish young man (Roberto Bennini) 閫?Beautiful female teacher Dora (Nicoleta Braski), he bowed to Dola politely: ""Good morning! Princess!"".After many ridiculous discounts, Tian Sui wished, and the two lived together happily.

However, the good times did not last long. Under the fascist regime, Kyo and his son were forcibly sent to the Jewish concentration camp.Although Dora did not have Jewish descent, he resolutely accompanied him and was detained in a concentration camp with her husband and son.Smart and Lotte coaxed his son. This is just a game. The prize is a large tank. The son lives happily and naively in the haze of the Nazis.Despite the hard and lonely life of the concentration camp, Guido still brought a lot of happiness to others. He also took the opportunity to greet his wife in the Nazi broadcast: ""Good morning! Princess!""

The fascist regime is about to be overwhelmed, and the Nazi concentration camp will soon accept the final cleanup. How can Guidor's game ended to his son?Can their family spend this dark era safely?"
Interstellar,Christopher Nolan,,"Matthew McConner, Anne Hathaway, Jessica Chastan, McCays Four, Cassie Aflak, Michael Kane, Matt Damon, Timoshi CheckRame, Allen Berstein, John Lesig, Wes Ben Teli, David Giaxi, Bill Ovin, Topo Grais, Corolt 鈥嬧€媁olf, Francis X. McCati, Andrew Borba, Josh Stewart, Laaya Carineus, Liam Dikinson, Jeff Hopinel, Eleeus Gabel,Brook Smith, David Odro, William Dwine, Rash Ferga, Griffin Fraser, Flora Nolan","Plot, science fiction, adventure",2014/11/12,169,1958562,"The yellow sand in the near future, the basic crops such as wheat, okra, and other basic crops have been extinct due to withered disease. Humans no longer look up at the starry sky as before, indulge the imagination and inspiration.There are not many scenes left.Former NASA Aerospace Curdone (Matthew McConaughey) in the former NASA Aerospace Worker, a home, found a strange gravity field in the study room in his daughter Murphy (Mackenzie Foy), and then learned that he was in a certain way.The former NASA member in an unknown area still secretly conducts a plan to save humans.Many years ago, a mysterious wormhole appeared near Saturn, and NASA took the opportunity to send several astronauts to the distant galaxy to find the planet suitable for residence.Under the persuasion of Professor Brand (Michael CAINE), Curobe bid farewell to his daughter, and the other three experts and the daughter of Emilia Brand (Anne Hathaway Anne Hathaway) (Anne Hathaway), Lomeli (David Gyasi), Domer (Wes Bes B ..."
Inception,Christopher Nolan,,"Leonardo Dicaprio, Joseph Gordon Levitt, Ellion Piggi, Tom Hardy, Watanabe Qian, Di Lie La, Kirian Murphy, Tom路 Bellenie, Marion Gigedia, Patt Poser Swatt, Michael Kane, Lucas Has, Lee Taoli, Claire Gille, Magnus Nolan, Taylor Ji JiLei, Jonathan Gil, Wishura Schoiro, Okamoto Yuji, El Cameron, Ryan Head, Miranda Nolan, Rush Figar, Tim CallhLelly","Plot, science fiction, suspense, adventure",2010/9/1,148,2157503,"Doum Cobb (Leonardo Dicaprio) and colleagues Arthur (Joseph Gordon-LEVITT) and Nash (Lukas Haas Haas decoration)) It failed in a dream of Japanese energy tycoon Saito (Watanabe Qian), which failed to use Saito.Saito's intimidation incentives to seduce Overseas Overseas, Cobb, who is expected to help him split his competitors, take extreme measures in the deep subconsciousness of his sole heirs Robert Fishel (Hilian Murphy), the only heir,Give up the idea of 鈥嬧€媋bandoning family companies and self -reliance portals.In order to return to the United States, Cobb secretly helped his father -in -law Michael Caine, absorbing young dream designers, Ellen Page (Ellen Page), dream actor AiMas (Tom Hardy Tom Hardy) and pharmacist Joseph (Dileep Rao) joined the operation.On the first layer ..."
Truman,Peter Will,,"Kim Kerry, Laura Lindie, Ed Harris, Noah Emeric, Natasha Mike Horn","Plot, science fiction",1998/6/5,103,1812889,"Chumen (Kim? Jim Carrey) is an ordinary person who cannot be ordinary, except for some strange experiences -the father who suddenly disappeared and drowned his father suddenly seemed to appear again.Most American men in their 30s are no different.This made him feel lost.He has also tried to leave where he has lived for many years, but he can't do it because of various reasons.

Until one day, he suddenly realized that he seemed to have been being tracked, no matter where he went or what he was doing.This feeling is getting stronger and stronger.Chumen decided to escape the place where he had lived for more than 30 years at all costs to find his first love girlfriend.

But he found out how he couldn't escape.The truth is actually cruel."
Schindler's List,Steven Speelberg,,"Lian Mum Nissen, Ben Kingsley, Ralph Fedis, Caroline Godor, Jonathan Sagal, Albert Davidz, Marcosa Gabel, Mark IeWanne, Berus Marcala, Andre Swelin, Friedrich von Tunn, Kzistitov Rake, Nobot Weiser, ViswaFu Komasa","Plot, history, war",1993/11/30,195,1166748,"In 1939, under the rule of Nazi Germany, the SSPA was isolated for Jews.German merchant Oscar Sindler (Liam Neeson) came to Clarkov under the German rule and opened a enamel factory to produce military supplies.With outstanding social ability and a large amount of money, Sindler has established a good relationship with the Germans. His factory hires Jewish work to make great fortune.

In 1943, Clarkov's Jews were suffered a terrible massacre. Sinler witnessed all of this and was greatly shocked. He bribed officers and made his factory an affiliated labor camp of the concentration camp.In it, his factory has also become a Jewish refuge.

In 1944, on the eve of the defeat of Germany, the actions of the slaughter of Jews became more crazy. Schindler issued a list of 1,200 people to the German officers and bought the lives of these Jewish people.In those dark days, saving someone is to save the world."
